t,n_bits,p,prep_init,cost_total,prep_in_mixers,reflection_anc,reflection_noanc,total_depth_anc,total_depth_noanc,n_ancillas_anc
385,3080,6,495,6,5940,162,36966,6603,43407,3079
386,3088,6,495,6,5940,162,37062,6603,43503,3087
387,3096,6,495,6,5940,162,37158,6603,43599,3095
388,3104,6,495,6,5940,162,37254,6603,43695,3103
389,3112,6,495,6,5940,162,37350,6603,43791,3111
390,3120,6,495,6,5940,162,37446,6603,43887,3119
391,3128,6,495,6,5940,162,37542,6603,43983,3127
392,3136,6,495,6,5940,162,37638,6603,44079,3135
393,3144,6,495,6,5940,162,37734,6603,44175,3143
394,3152,6,495,6,5940,162,37830,6603,44271,3151
395,3160,6,495,6,5940,162,37926,6603,44367,3159
396,3168,6,495,6,5940,162,38022,6603,44463,3167
397,3176,6,495,6,5940,162,38118,6603,44559,3175
398,3184,6,495,6,5940,162,38214,6603,44655,3183
399,3192,6,495,6,5940,162,38310,6603,44751,3191
400,3200,6,495,6,5940,162,38406,6603,44847,3199
401,3208,6,495,6,5940,162,38502,6603,44943,3207
402,3216,6,495,6,5940,162,38598,6603,45039,3215
403,3224,6,495,6,5940,162,38694,6603,45135,3223
404,3232,6,495,6,5940,162,38790,6603,45231,3231
405,3240,6,495,6,5940,162,38886,6603,45327,3239
406,3248,6,495,6,5940,162,38982,6603,45423,3247
407,3256,6,495,6,5940,162,39078,6603,45519,3255
408,3264,6,495,6,5940,162,39174,6603,45615,3263
409,3272,6,495,6,5940,162,39270,6603,45711,3271
410,3280,6,495,6,5940,162,39366,6603,45807,3279
411,3288,6,495,6,5940,162,39462,6603,45903,3287
412,3296,6,495,6,5940,162,39558,6603,45999,3295
413,3304,6,495,6,5940,162,39654,6603,46095,3303
414,3312,6,495,6,5940,162,39750,6603,46191,3311
415,3320,6,495,6,5940,162,39846,6603,46287,3319
416,3328,6,495,6,5940,162,39942,6603,46383,3327
417,3336,6,495,6,5940,162,40038,6603,46479,3335
418,3344,6,495,6,5940,162,40134,6603,46575,3343
419,3352,6,495,6,5940,162,40230,6603,46671,3351
420,3360,6,495,6,5940,162,40326,6603,46767,3359
421,3368,6,495,6,5940,162,40422,6603,46863,3367
422,3376,6,495,6,5940,162,40518,6603,46959,3375
423,3384,6,495,6,5940,162,40614,6603,47055,3383
424,3392,6,495,6,5940,162,40710,6603,47151,3391
425,3400,6,495,6,5940,162,40806,6603,47247,3399
426,3408,6,495,6,5940,162,40902,6603,47343,3407
427,3416,6,495,6,5940,162,40998,6603,47439,3415
428,3424,6,495,6,5940,162,41094,6603,47535,3423
429,3432,6,495,6,5940,162,41190,6603,47631,3431
430,3440,6,495,6,5940,162,41286,6603,47727,3439
431,3448,6,495,6,5940,162,41382,6603,47823,3447
432,3456,6,495,6,5940,162,41478,6603,47919,3455
433,3464,6,495,6,5940,162,41574,6603,48015,3463
434,3472,6,495,6,5940,162,41670,6603,48111,3471
435,3480,6,495,6,5940,162,41766,6603,48207,3479
436,3488,6,495,6,5940,162,41862,6603,48303,3487
437,3496,6,495,6,5940,162,41958,6603,48399,3495
438,3504,6,495,6,5940,162,42054,6603,48495,3503
439,3512,6,495,6,5940,162,42150,6603,48591,3511
440,3520,6,495,6,5940,162,42246,6603,48687,3519
441,3528,6,495,6,5940,162,42342,6603,48783,3527
442,3536,6,495,6,5940,162,42438,6603,48879,3535
443,3544,6,495,6,5940,162,42534,6603,48975,3543
444,3552,6,495,6,5940,162,42630,6603,49071,3551
445,3560,6,495,6,5940,162,42726,6603,49167,3559
446,3568,6,495,6,5940,162,42822,6603,49263,3567
447,3576,6,495,6,5940,162,42918,6603,49359,3575
448,3584,6,495,6,5940,162,43014,6603,49455,3583
449,3592,6,495,6,5940,162,43110,6603,49551,3591
450,3600,6,495,6,5940,162,43206,6603,49647,3599
451,3608,6,495,6,5940,162,43302,6603,49743,3607
452,3616,6,495,6,5940,162,43398,6603,49839,3615
453,3624,6,495,6,5940,162,43494,6603,49935,3623
454,3632,6,495,6,5940,162,43590,6603,50031,3631
455,3640,6,495,6,5940,162,43686,6603,50127,3639
456,3648,6,495,6,5940,162,43782,6603,50223,3647
457,3656,6,495,6,5940,162,43878,6603,50319,3655
458,3664,6,495,6,5940,162,43974,6603,50415,3663
459,3672,6,495,6,5940,162,44070,6603,50511,3671
460,3680,6,495,6,5940,162,44166,6603,50607,3679
461,3688,6,495,6,5940,162,44262,6603,50703,3687
462,3696,6,495,6,5940,162,44358,6603,50799,3695
463,3704,6,495,6,5940,162,44454,6603,50895,3703
464,3712,6,495,6,5940,162,44550,6603,50991,3711
465,3720,6,495,6,5940,162,44646,6603,51087,3719
466,3728,6,495,6,5940,162,44742,6603,51183,3727
467,3736,6,495,6,5940,162,44838,6603,51279,3735
468,3744,6,495,6,5940,162,44934,6603,51375,3743
469,3752,6,495,6,5940,162,45030,6603,51471,3751
470,3760,6,495,6,5940,162,45126,6603,51567,3759
471,3768,6,495,6,5940,162,45222,6603,51663,3767
472,3776,6,495,6,5940,162,45318,6603,51759,3775
473,3784,6,495,6,5940,162,45414,6603,51855,3783
474,3792,6,495,6,5940,162,45510,6603,51951,3791
475,3800,6,495,6,5940,162,45606,6603,52047,3799
476,3808,6,495,6,5940,162,45702,6603,52143,3807
477,3816,6,495,6,5940,162,45798,6603,52239,3815
478,3824,6,495,6,5940,162,45894,6603,52335,3823
479,3832,6,495,6,5940,162,45990,6603,52431,3831
480,3840,6,495,6,5940,162,46086,6603,52527,3839
481,3848,6,495,6,5940,162,46182,6603,52623,3847
482,3856,6,495,6,5940,162,46278,6603,52719,3855
483,3864,6,495,6,5940,162,46374,6603,52815,3863
484,3872,6,495,6,5940,162,46470,6603,52911,3871
485,3880,6,495,6,5940,162,46566,6603,53007,3879
